id,title,author,source,date,subjects
100,Brenda Lee — Only Fifteen but They Want Her for Hollywood,June Harris,Disc,28 May 1960,['brenda-lee']
101,"The Greenbriar Boys, Bob Dylan: Gerde's Folk City, New York NY",Robert Shelton,The New York Times,29 September 1961,"['bob-dylan', 'greenbriar-boys-the']"
102,Durable Formula for Grand Ole Opry,Robert Shelton,The New York Times,26 November 1961,"['earl-scruggs', 'hank-williams', 'uncle-dave-macon', 'jim-reeves', 'bill-anderson', 'lester-flatt', 'ernest-tubb']"
103,"Johnny Cash, Maybelle Carter, George Jones, Mac Wiseman, the Glaser Brothers: Carnegie Hall, New York NY",Robert Shelton,The New York Times,11 May 1962,"['johnny-cash', 'george-jones', 'mac-wiseman', 'tompall--the-glaser-brothers', 'maybelle-carter']"
104,John D. Loudermilk and Fred Foster: Nashville Men Take a Look at London,June Harris,Disc,9 June 1962,['john-d-loudermilk']
105,Mother Taught Ray Charles To Cope With Blindness,Alan Smith,New Musical Express,31 August 1962,['ray-charles']
106,Frank Ifield: U.S. Success Shakes Ifield,June Harris,Disc,22 September 1962,['frank-ifield']
107,Ifield's Hit Turns Bobby Vee To C And W!,June Harris,Disc,27 October 1962,"['crickets-the', 'frank-ifield', 'bobby-vee']"
108,Phil Everly: He Can't Spell But He Can Sing Like A Million Dollars,Maureen Cleave,"Sydney Morning Herald, the",11 November 1962,['everly-brothers-the']
109,Phil Everly says Thanks,Alan Smith,New Musical Express,16 November 1962,"['phil-everly', 'everly-brothers-the']"
110,Patsy Cline: Patsy Cashes In on the C and W Boom,June Harris,Disc,1 December 1962,['patsy-cline']
111,Patsy Cline Overcame Grave Car Crash Injuries,Alan Smith,New Musical Express,7 December 1962,['patsy-cline']
112,Colder In Nashville Than Even Here Says Tom Springfield,Peter Jones,Record Mirror,2 February 1963,['springfields-the']
113,Patsy Cline Killed In Air Crash,uncredited writer,New Musical Express,8 March 1963,['patsy-cline']
114,The Great Unknowns No. 2: Buddy Knox,Norman Jopling,Record Mirror,23 March 1963,['buddy-knox']
115,Hank Locklin on Newcomers' TV Show!,Alan Smith,New Musical Express,12 April 1963,['hank-locklin']
116,Alan Smith Conducts a Transatlantic Question-Time with Skeeter Davis,Alan Smith,New Musical Express,26 April 1963,['skeeter-davis']
117,"Dock Boggs, Mississippi John Hurt: Alumni Hall, New York University, New York NY",Robert Shelton,The New York Times,14 December 1963,"['mississippi-john-hurt', 'dock-boggs']"
118,"Jim Reeves: ""We just come through here once...""",Peter Jones,Record Mirror,15 August 1964,['jim-reeves']
119,"The Everly Brothers: Rock 'n' Soul (Warner Bros. WM 8171); Gone, Gone, Gone (Warner Bros. WM 8169)","Peter Jones, Norman Jopling",Record Mirror,1 May 1965,['everly-brothers-the']
200,Everlys Thrilled Over British Tour,Tracy Thomas,New Musical Express,9 July 1965,['everly-brothers-the']
201,Roger Miller: '65's Pop Surprise Man,uncredited writer,KRLA Beat,8 January 1966,['roger-miller']
202,Roger Miller & Little Jimmy Dickens: A Happy Thing Happened On Our Way To Hullabaloo,Jane Heil,Hit Parader,April 1966,"['bobby-bare', 'roger-miller', 'little-jimmy-dickens']"
203,"""Recording Sessions I Have Known"" by Charlie McCoy",Jim Delehant,Hit Parader,May 1966,"['bob-dylan', 'elvis-presley', 'foggy-mountain-boys', 'charlie-mccoy']"
204,Jim Reeves: Kimberley Jim (RCA Victor),Peter Jones,Record Mirror,14 May 1966,['jim-reeves']
205,Johnny Cash — The C&W Legend Also Beloved By Rockers,Richard Green,Record Mirror,21 May 1966,['johnny-cash']
