html,href,title,author,journal,type,date
"<div class=""article-listing"">
<p><a href=""/Library/Article/brenda-lee--only-fifteen-but-they-want-her-for-hollywood"">Brenda Lee — Only Fifteen but They Want Her for Hollywood</a></p>
<p>Profile by June Harris, <i>Disc</i>, 28 May 1960</p>
<p class=""excerpt"">""SHE'S DYNAMIC. For her age she's ridiculously adult, she knows exactly what she wants and goes all out to get it."" This is Wham! producer Jack Good ...</p>
</div>",/Library/Article/brenda-lee--only-fifteen-but-they-want-her-for-hollywood,Brenda Lee — Only Fifteen but They Want Her for Hollywood,June Harris,Disc,Profile,28 May 1960
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-greenbriar-boys-bob-dylan-gerdes-folk-city-new-york-ny"">Bob Dylan, Greenbriar Boys, The: The Greenbriar Boys, Bob Dylan: Gerde's Folk City, New York NY</a></p>
<p>Live Review by Robert Shelton, <i>The New York Times</i>, 29 September 1961</p>
<p class=""excerpt"">Bob Dylan: A Distinctive Folk-Song Stylist
20-Year-Old Singer Is Bright New Face at Gerde's Club ...</p>
</div>",/Library/Article/the-greenbriar-boys-bob-dylan-gerdes-folk-city-new-york-ny,"The Greenbriar Boys, Bob Dylan: Gerde's Folk City, New York NY",Robert Shelton,The New York Times,Live Review,29 September 1961
"<div class=""article-listing"">
<p><a href=""/Library/Article/durable-formula-for-igrand-ole-opryi"">Earl Scruggs, Hank Williams, Uncle Dave Macon, Jim Reeves, Bill Anderson, Lester Flatt, Ernest Tubb: Durable Formula for <i>Grand Ole Opry</i></a></p>
<p>Report by Robert Shelton, <i>The New York Times</i>, 26 November 1961</p>
<p class=""excerpt"">NASHVILLE, TENN. After thirty-five years of broadcasting, the grand old dinosaur of American radio, Grand Ole Opry, is as boisterously alive as ever. The show ...</p>
</div>",/Library/Article/durable-formula-for-igrand-ole-opryi,Durable Formula for Grand Ole Opry,Robert Shelton,The New York Times,Report,26 November 1961
"<div class=""article-listing"">
<p><a href=""/Library/Article/johnny-cash-maybelle-carter-george-jones-mac-wiseman-the-glaser-brothers-carnegie-hall-new-york-ny"">Johnny Cash, George Jones, Mac Wiseman, Tompall &amp; the Glaser Brothers, Maybelle Carter: Johnny Cash, Maybelle Carter, George Jones, Mac Wiseman, the Glaser Brothers: Carnegie Hall, New York NY</a></p>
<p>Live Review by Robert Shelton, <i>The New York Times</i>, 11 May 1962</p>
<p class=""excerpt"">Troupe of Country Musicians Gives Program at Carnegie Hall ...</p>
</div>",/Library/Article/johnny-cash-maybelle-carter-george-jones-mac-wiseman-the-glaser-brothers-carnegie-hall-new-york-ny,"Johnny Cash, Maybelle Carter, George Jones, Mac Wiseman, the Glaser Brothers: Carnegie Hall, New York NY",Robert Shelton,The New York Times,Live Review,11 May 1962
"<div class=""article-listing"">
<p><a href=""/Library/Article/john-d-loudermilk-and-fred-foster-nashville-men-take-a-look-at-london"">John D. Loudermilk and Fred Foster: Nashville Men Take a Look at London</a></p>
<p>Interview by June Harris, <i>Disc</i>, 9 June 1962</p>
<p class=""excerpt"">TRAVELLING companions on a brief visit to London last week were songwriter and RCA recording artist John D. Loudermilk, and Fred Foster, the 30-year-old boss ...</p>
</div>",/Library/Article/john-d-loudermilk-and-fred-foster-nashville-men-take-a-look-at-london,Nashville Men Take a Look at London,June Harris,Disc,Interview,9 June 1962
"<div class=""article-listing"">
<p><a href=""/Library/Article/mother-taught-ray-charles-to-cope-with-blindness"">Ray Charles: Mother Taught Ray Charles To Cope With Blindness</a></p>
<p>Profile by Alan Smith, <i>New Musical Express</i>, 31 August 1962</p>
<p class=""excerpt"">THOUGH HE has been blind since the age of six, one of Ray Charles' biggest hates is to be treated as a blind person. It ...</p>
</div>",/Library/Article/mother-taught-ray-charles-to-cope-with-blindness,Mother Taught Ray Charles To Cope With Blindness,Alan Smith,New Musical Express,Profile,31 August 1962
"<div class=""article-listing"">
<p><a href=""/Library/Article/frank-ifield-us-success-shakes-ifield"">Frank Ifield: U.S. Success Shakes Ifield</a></p>
<p>Interview by June Harris, <i>Disc</i>, 22 September 1962</p>
<p class=""excerpt"">""I THINK it's fantastic,"" said Frank Ifield over the phone from Brighton where he was appearing last week. ""Suddenly 'I Remember You' is selling throughout ...</p>
</div>",/Library/Article/frank-ifield-us-success-shakes-ifield,U.S. Success Shakes Ifield,June Harris,Disc,Interview,22 September 1962
"<div class=""article-listing"">
<p><a href=""/Library/Article/ifields-hit-turns-bobby-vee-to-c-and-w"">Crickets, The, Frank Ifield, Bobby Vee: Ifield's Hit Turns Bobby Vee To C And W!</a></p>
<p>Interview by June Harris, <i>Disc</i>, 27 October 1962</p>
<p class=""excerpt"">THE SUCCESS of Frank Ifield in America has really converted Bobby Vee to country and western music! ""I had no idea that C and W ...</p>
</div>",/Library/Article/ifields-hit-turns-bobby-vee-to-c-and-w,Ifield's Hit Turns Bobby Vee To C And W!,June Harris,Disc,Interview,27 October 1962
"<div class=""article-listing"">
<p><a href=""/Library/Article/phil-everly-he-cant-spell-but-he-can-sing-like-a-million-dollars"">Everly Brothers, The: Phil Everly: He Can't Spell But He Can Sing Like A Million Dollars</a></p>
<p>Interview by Maureen Cleave, <i>Sydney Morning Herald, the</i>, 11 November 1962</p>
<p class=""excerpt"">From MAUREEN CLEAVE in London ...</p>
</div>",/Library/Article/phil-everly-he-cant-spell-but-he-can-sing-like-a-million-dollars,Phil Everly: He Can't Spell But He Can Sing Like A Million Dollars,Maureen Cleave,"Sydney Morning Herald, the",Interview,11 November 1962
"<div class=""article-listing"">
<p><a href=""/Library/Article/phil-everly-says-thanks"">Phil Everly, Everly Brothers, The: Phil Everly says Thanks</a></p>
<p>Interview by Alan Smith, <i>New Musical Express</i>, 16 November 1962</p>
<p class=""excerpt"">PALE AND drawn after his four week tour of Britain without brother Don, Phil Everly slumped into a deep armchair in his dressing room at ...</p>
</div>",/Library/Article/phil-everly-says-thanks,Phil Everly says Thanks,Alan Smith,New Musical Express,Interview,16 November 1962
