id,title,author,source,date,subjects,topic,type,href
c100,Brenda Lee — Only Fifteen but They Want Her for Hollywood,June Harris,Disc,28 May 1960,['brenda-lee'],country,Profile,/Library/SearchLinkRedirect?folder=brenda-lee--only-fifteen-but-they-want-her-for-hollywood
c101,"The Greenbriar Boys, Bob Dylan: Gerde's Folk City, New York NY",Robert Shelton,The New York Times,29 September 1961,"['bob-dylan', 'greenbriar-boys-the']",country,Live Review,/Library/SearchLinkRedirect?folder=the-greenbriar-boys-bob-dylan-gerdes-folk-city-new-york-ny
c102,Durable Formula for Grand Ole Opry,Robert Shelton,The New York Times,26 November 1961,"['earl-scruggs', 'hank-williams', 'uncle-dave-macon', 'jim-reeves', 'bill-anderson', 'lester-flatt', 'ernest-tubb']",country,Report,/Library/SearchLinkRedirect?folder=durable-formula-for-igrand-ole-opryi
c103,"Johnny Cash, Maybelle Carter, George Jones, Mac Wiseman, the Glaser Brothers: Carnegie Hall, New York NY",Robert Shelton,The New York Times,11 May 1962,"['johnny-cash', 'george-jones', 'mac-wiseman', 'tompall--the-glaser-brothers', 'maybelle-carter']",country,Live Review,/Library/SearchLinkRedirect?folder=johnny-cash-maybelle-carter-george-jones-mac-wiseman-the-glaser-brothers-carnegie-hall-new-york-ny
c104,John D. Loudermilk and Fred Foster: Nashville Men Take a Look at London,June Harris,Disc,9 June 1962,['john-d-loudermilk'],country,Interview,/Library/SearchLinkRedirect?folder=john-d-loudermilk-and-fred-foster-nashville-men-take-a-look-at-london
c105,Mother Taught Ray Charles To Cope With Blindness,Alan Smith,New Musical Express,31 August 1962,['ray-charles'],country,Profile,/Library/SearchLinkRedirect?folder=mother-taught-ray-charles-to-cope-with-blindness
c106,Frank Ifield: U.S. Success Shakes Ifield,June Harris,Disc,22 September 1962,['frank-ifield'],country,Interview,/Library/SearchLinkRedirect?folder=frank-ifield-us-success-shakes-ifield
c107,Ifield's Hit Turns Bobby Vee To C And W!,June Harris,Disc,27 October 1962,"['crickets-the', 'frank-ifield', 'bobby-vee']",country,Interview,/Library/SearchLinkRedirect?folder=ifields-hit-turns-bobby-vee-to-c-and-w
c108,Phil Everly: He Can't Spell But He Can Sing Like A Million Dollars,Maureen Cleave,"Sydney Morning Herald, the",11 November 1962,['everly-brothers-the'],country,Interview,/Library/SearchLinkRedirect?folder=phil-everly-he-cant-spell-but-he-can-sing-like-a-million-dollars
c109,Phil Everly says Thanks,Alan Smith,New Musical Express,16 November 1962,"['phil-everly', 'everly-brothers-the']",country,Interview,/Library/SearchLinkRedirect?folder=phil-everly-says-thanks
c110,Patsy Cline: Patsy Cashes In on the C and W Boom,June Harris,Disc,1 December 1962,['patsy-cline'],country,Profile,/Library/SearchLinkRedirect?folder=patsy-cline-patsy-cashes-in-on-the-c-and-w-boom
c111,Patsy Cline Overcame Grave Car Crash Injuries,Alan Smith,New Musical Express,7 December 1962,['patsy-cline'],country,Profile and Interview,/Library/SearchLinkRedirect?folder=patsy-cline-overcame-grave-car-crash-injuries
c112,Colder In Nashville Than Even Here Says Tom Springfield,Peter Jones,Record Mirror,2 February 1963,['springfields-the'],country,Interview,/Library/SearchLinkRedirect?folder=colder-in-nashville-than-even-here-says-tom-springfield
c113,Patsy Cline Killed In Air Crash,uncredited writer,New Musical Express,8 March 1963,['patsy-cline'],country,Report,/Library/SearchLinkRedirect?folder=patsy-cline-killed-in-air-crash
c114,The Great Unknowns No. 2: Buddy Knox,Norman Jopling,Record Mirror,23 March 1963,['buddy-knox'],country,Profile,/Library/SearchLinkRedirect?folder=the-great-unknowns-no-2-buddy-knox
c115,Hank Locklin on Newcomers' TV Show!,Alan Smith,New Musical Express,12 April 1963,['hank-locklin'],country,Profile,/Library/SearchLinkRedirect?folder=hank-locklin-on-newcomers-tv-show
