id,title,author,source,date,subjects,topic,type,href
s100,Jimmy Jones Gets Used to Our One-Nighters,June Harris,Disc,29 October 1960,['jimmy-jones'],soul,Interview,/Library/SearchLinkRedirect?folder=jimmy-jones-gets-used-to-our-one-nighters
s101,"Miriam Makeba, Nina Simone: Carnegie Hall, New York NY",Robert Shelton,The New York Times,22 May 1961,"['miriam-makeba', 'nina-simone']",soul,Live Review,/Library/SearchLinkRedirect?folder=miriam-makeba-nina-simone-carnegie-hall-new-york-ny
s102,'Frogman' Henry: Made His First Disc Five Years Ago,June Harris,Disc,15 July 1961,['clarence-frogman-henry'],soul,Profile,/Library/SearchLinkRedirect?folder=frogman-henry-made-his-first-disc-five-years-ago
s103,The Inconsistent Drifters,Norman Jopling,Record Mirror,7 October 1961,"['drifters-the', 'ben-e-king']",soul,Profile,/Library/SearchLinkRedirect?folder=the-inconsistent-drifters
s104,"Quincy Jones: ""Bandleading... enough to make grey hair grow on my eyeballs... but I'm not quitting jazz""",Max Jones,Melody Maker,10 February 1962,['quincy-jones'],soul,Interview,/Library/SearchLinkRedirect?folder=quincy-jones-bandleading-enough-to-make-grey-hair-grow-on-my-eyeballs-but-im-not-quitting-jazz
s105,As Twist Hits the Chart Top Chubby Checker and Joey Dee Reveal How They Started To Do It — And Why!,uncredited writer,New Musical Express,23 February 1962,"['chubby-checker', 'joey-dee--the-starliters']",soul,Interview,/Library/SearchLinkRedirect?folder=as-twist-hits-the-chart-top-chubby-checker-and-joey-dee-reveal-how-they-started-to-do-it--and-why
s106,Chandler Could Surprise Us All With His U.S. Hit,June Harris,Disc,3 March 1962,['gene-chandler'],soul,Profile,/Library/SearchLinkRedirect?folder=chandler-could-surprise-us-all-with-his-us-hit
s107,Gene McDaniels... On Those Cover Discs,uncredited writer,Record Mirror,28 April 1962,['gene-mcdaniels'],soul,Interview,/Library/SearchLinkRedirect?folder=gene-mcdaniels-on-those-cover-discs
s108,Now Ketty Lester Faces The Big Test,June Harris,Disc,7 July 1962,['ketty-lester'],soul,Profile,/Library/SearchLinkRedirect?folder=now-ketty-lester-faces-the-big-test
s109,Della Reese In London: Gospel Is Very Big Business,Peter Jones,Record Mirror,28 July 1962,['della-reese'],soul,Profile and Interview,/Library/SearchLinkRedirect?folder=della-reese-in-london-gospel-is-very-big-business
s110,Mother Taught Ray Charles To Cope With Blindness,Alan Smith,New Musical Express,31 August 1962,['ray-charles'],soul,Profile,/Library/SearchLinkRedirect?folder=mother-taught-ray-charles-to-cope-with-blindness
